"concept","n","percentage","cumulative_percentage"
"us-gaap_LiabilitiesAndStockholdersEquity",1420,2.80643503695798,2.80643503695798
"us-gaap_Assets",1418,2.80248231155382,5.6089173485118
"us-gaap_RetainedEarningsAccumulatedDeficit",1384,2.73528597968299,8.34420332819479
"us-gaap_StockholdersEquity",1338,2.64437329538717,10.988576623582
"us-gaap_LiabilitiesCurrent",1337,2.64239693268509,13.630973556267
"us-gaap_AssetsCurrent",1322,2.61275149215384,16.2437250484209
"us-gaap_CashAndCashEquivalentsAtCarryingValue",1266,2.50207518083719,18.7458002292581
"us-gaap_PropertyPlantAndEquipmentNet",1235,2.44080793707261,21.1866081663307
"us-gaap_CommonStockValue",1203,2.37756433060595,23.5641724969366
"us-gaap_Liabilities",1180,2.33210798845804,25.8962804853947
"us-gaap_OtherAssetsNoncurrent",1005,1.9862445155935,27.8825250009882
"us-gaap_Goodwill",969,1.91509545831851,29.7976204593067
"us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax",936,1.84987548914977,31.6474959484565
"us-gaap_AccountsPayableCurrent",893,1.7648918929602,33.4123878414167
"us-gaap_OtherLiabilitiesNoncurrent",880,1.73919917783312,35.1515870192498
"us-gaap_PrepaidExpenseAndOtherAssetsCurrent",787,1.55539744653939,36.7069844657892
"us-gaap_AccountsReceivableNetCurrent",766,1.51389382979564,38.2208782955848
"us-gaap_AdditionalPaidInCapital",740,1.46250839954148,39.6833866951263
"us-gaap_IntangibleAssetsNetExcludingGoodwill",691,1.36566662713941,41.0490533222657
"us-gaap_InventoryNet",616,1.21743942448318,42.2664927467489
"us-gaap_AccruedLiabilitiesCurrent",601,1.18779398395193,43.4542867307008
"us-gaap_TreasuryStockValue",601,1.18779398395193,44.6420807146527
"us-gaap_AdditionalPaidInCapitalCommonStock",546,1.07909403533737,45.7211747499901
"us-gaap_LongTermDebtNoncurrent",530,1.04747223210404,46.7686469820942
"us-gaap_OperatingLeaseRightOfUseAsset",473,0.9348195580853,47.7034665401795
"us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest",457,0.90319775485197,48.6066642950314
"us-gaap_PreferredStockValue",456,0.901221392149887,49.5078856871813
"us-gaap_OperatingLeaseLiabilityNoncurrent",441,0.871575951618641,50.3794616388
"us-gaap_LongTermDebtCurrent",417,0.824143246768647,51.2036048855686
"us-gaap_MinorityInterest",405,0.80042689434365,52.0040317799122
"us-gaap_EmployeeRelatedLiabilitiesCurrent",382,0.754970552195739,52.759002332108
"us-gaap_OperatingLeaseLiabilityCurrent",353,0.697656033835329,53.4566583659433
"us-gaap_OtherAssetsCurrent",347,0.685797857622831,54.1424562235661
"us-gaap_OtherLiabilitiesCurrent",300,0.592908810624926,54.7353650341911
"us-gaap_DeferredIncomeTaxLiabilitiesNet",299,0.590932447922843,55.3262974821139
"us-gaap_DeferredTaxLiabilitiesNoncurrent",296,0.585003359816594,55.9113008419305
"us-gaap_PrepaidExpenseCurrent",274,0.541523380370766,56.4528242223013
"LiabilitiesAndStockholdersEquity",270,0.533617929562433,56.9864421518637
"Assets",269,0.53164156686035,57.5180837187241
"us-gaap_LongTermDebtAndCapitalLeaseObligations",264,0.521759753349935,58.039843472074
"RetainedEarningsAccumulatedDeficit",262,0.517807027945769,58.5576505000198
"StockholdersEquity",261,0.515830665243685,59.0734811652635
"us-gaap_ContractWithCustomerLiabilityCurrent",259,0.511877939839519,59.585359105103
"LiabilitiesCurrent",249,0.492114312818689,60.0774734179217
"AssetsCurrent",248,0.490137950116605,60.5676113680383
"us-gaap_AccountsPayableAndAccruedLiabilitiesCurrent",248,0.490137950116605,61.0577493181549
"PropertyPlantAndEquipmentNet",241,0.476303411202024,61.5340527293569
"us-gaap_LongTermDebtAndCapitalLeaseObligationsCurrent",240,0.474327048499941,62.0083797778568
"CashAndCashEquivalentsAtCarryingValue",238,0.470374323095775,62.4787541009526
"us-gaap_DeferredIncomeTaxAssetsNet",233,0.460492509585359,62.939246610538
