"concept","n","percentage","cumulative_percentage"
"us-gaap_LiabilitiesAndStockholdersEquity",1420,2.80643503695798,2.80643503695798
"us-gaap_Assets",1418,2.80248231155382,5.6089173485118
"us-gaap_RetainedEarningsAccumulatedDeficit",1384,2.73528597968299,8.34420332819479
"us-gaap_StockholdersEquity",1338,2.64437329538717,10.988576623582
"us-gaap_LiabilitiesCurrent",1337,2.64239693268509,13.630973556267
"us-gaap_AssetsCurrent",1322,2.61275149215384,16.2437250484209
"us-gaap_CashAndCashEquivalentsAtCarryingValue",1266,2.50207518083719,18.7458002292581
"us-gaap_PropertyPlantAndEquipmentNet",1235,2.44080793707261,21.1866081663307
"us-gaap_CommonStockValue",1203,2.37756433060595,23.5641724969366
"us-gaap_Liabilities",1180,2.33210798845804,25.8962804853947
"us-gaap_OtherAssetsNoncurrent",1005,1.9862445155935,27.8825250009882
"us-gaap_Goodwill",969,1.91509545831851,29.7976204593067
"us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax",936,1.84987548914977,31.6474959484565
"us-gaap_AccountsPayableCurrent",893,1.7648918929602,33.4123878414167
"us-gaap_OtherLiabilitiesNoncurrent",880,1.73919917783312,35.1515870192498
"us-gaap_PrepaidExpenseAndOtherAssetsCurrent",787,1.55539744653939,36.7069844657892
"us-gaap_AccountsReceivableNetCurrent",766,1.51389382979564,38.2208782955848
"us-gaap_AdditionalPaidInCapital",740,1.46250839954148,39.6833866951263
"us-gaap_IntangibleAssetsNetExcludingGoodwill",691,1.36566662713941,41.0490533222657
"us-gaap_InventoryNet",616,1.21743942448318,42.2664927467489
"us-gaap_AccruedLiabilitiesCurrent",601,1.18779398395193,43.4542867307008
"us-gaap_TreasuryStockValue",601,1.18779398395193,44.6420807146527
"us-gaap_AdditionalPaidInCapitalCommonStock",546,1.07909403533737,45.7211747499901
"us-gaap_LongTermDebtNoncurrent",530,1.04747223210404,46.7686469820942
"us-gaap_OperatingLeaseRightOfUseAsset",473,0.9348195580853,47.7034665401795
"us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest",457,0.90319775485197,48.6066642950314
"us-gaap_PreferredStockValue",456,0.901221392149887,49.5078856871813
"us-gaap_OperatingLeaseLiabilityNoncurrent",441,0.871575951618641,50.3794616388
"us-gaap_LongTermDebtCurrent",417,0.824143246768647,51.2036048855686
"us-gaap_MinorityInterest",405,0.80042689434365,52.0040317799122
"us-gaap_EmployeeRelatedLiabilitiesCurrent",382,0.754970552195739,52.759002332108
"us-gaap_OperatingLeaseLiabilityCurrent",353,0.697656033835329,53.4566583659433
"us-gaap_OtherAssetsCurrent",347,0.685797857622831,54.1424562235661
"us-gaap_OtherLiabilitiesCurrent",300,0.592908810624926,54.7353650341911
"us-gaap_DeferredIncomeTaxLiabilitiesNet",299,0.590932447922843,55.3262974821139
"us-gaap_DeferredTaxLiabilitiesNoncurrent",296,0.585003359816594,55.9113008419305
"us-gaap_PrepaidExpenseCurrent",274,0.541523380370766,56.4528242223013
"LiabilitiesAndStockholdersEquity",270,0.533617929562433,56.9864421518637
"Assets",269,0.53164156686035,57.5180837187241
"us-gaap_LongTermDebtAndCapitalLeaseObligations",264,0.521759753349935,58.039843472074
"RetainedEarningsAccumulatedDeficit",262,0.517807027945769,58.5576505000198
"StockholdersEquity",261,0.515830665243685,59.0734811652635
"us-gaap_ContractWithCustomerLiabilityCurrent",259,0.511877939839519,59.585359105103
"LiabilitiesCurrent",249,0.492114312818689,60.0774734179217
"AssetsCurrent",248,0.490137950116605,60.5676113680383
"us-gaap_AccountsPayableAndAccruedLiabilitiesCurrent",248,0.490137950116605,61.0577493181549
"PropertyPlantAndEquipmentNet",241,0.476303411202024,61.5340527293569
"us-gaap_LongTermDebtAndCapitalLeaseObligationsCurrent",240,0.474327048499941,62.0083797778568
"CashAndCashEquivalentsAtCarryingValue",238,0.470374323095775,62.4787541009526
"us-gaap_DeferredIncomeTaxAssetsNet",233,0.460492509585359,62.939246610538
"us-gaap_ShortTermBorrowings",233,0.460492509585359,63.3997391201233
"us-gaap_AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment",227,0.448634333372861,63.8483734534962
"us-gaap_DeferredRevenueCurrent",226,0.446657970670778,64.295031424167
"us-gaap_IncomeTaxesReceivable",223,0.440728882564528,64.7357603067315
"Liabilities",214,0.42294161824578,65.1587019249773
"Goodwill",209,0.413059804735365,65.5717617297126
"us-gaap_DeferredTaxAssetsNetNoncurrent",203,0.401201628522867,65.9729633582355
"us-gaap_PropertyPlantAndEquipmentGross",202,0.399225265820783,66.3721886240563
"AccumulatedOtherComprehensiveIncomeLossNetOfTax",199,0.393296177714534,66.7654848017708
"us-gaap_FiniteLivedIntangibleAssetsNet",194,0.383414364204119,67.1488991659749
"CommonStockValue",193,0.381438001502036,67.530337167477
"us-gaap_AccruedIncomeTaxesCurrent",185,0.365627099885371,67.8959642673623
"us-gaap_LiabilitiesNoncurrent",183,0.361674374481205,68.2576386418436
"OtherAssetsNoncurrent",176,0.347839835566623,68.6054784774102
"us-gaap_ShortTermInvestments",176,0.347839835566623,68.9533183129768
"AccountsPayableCurrent",170,0.335981659354125,69.2892999723309
"us-gaap_TaxesPayableCurrent",160,0.316218032333294,69.6055180046642
"us-gaap_ReceivablesNetCurrent",158,0.312265306929128,69.9177833115933
"AccountsReceivableNetCurrent",157,0.310288944227045,70.2280722558204
"OtherLiabilitiesNoncurrent",157,0.310288944227045,70.5383612000474
"us-gaap_InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures",155,0.306336218822878,70.8446974188703
"CommitmentsAndContingencies",154,0.304359856120795,71.1490572749911
"us-gaap_OtherAccruedLiabilitiesCurrent",154,0.304359856120795,71.4534171311119
"us-gaap_EquityMethodInvestments",150,0.296454405312463,71.7498715364244
"InventoryNet",144,0.284596229099964,72.0344677655243
"us-gaap_ContractWithCustomerLiabilityNoncurrent",136,0.2687853274833,72.3032530930076
"AdditionalPaidInCapital",128,0.252974425866635,72.5562275188743
"IntangibleAssetsNetExcludingGoodwill",128,0.252974425866635,72.8092019447409
"AccruedLiabilitiesCurrent",126,0.249021700462469,73.0582236452034
"AdditionalPaidInCapitalCommonStock",121,0.239139886952053,73.2973635321554
"us-gaap_CommonStockValueOutstanding",121,0.239139886952053,73.5365034191075
"us-gaap_OtherAssets",117,0.231234436143721,73.7677378552512
"us-gaap_DeferredTaxAssetsNetCurrent",115,0.227281710739555,73.9950195659907
"TreasuryStockValue",114,0.225305348037472,74.2203249140282
"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest",112,0.221352622633306,74.4416775366615
"PreferredStockValue",110,0.217399897229139,74.6590774338907
"us-gaap_PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent",108,0.213447171824973,74.8725246057156
"us-gaap_AccountsPayableTradeCurrent",106,0.209494446420807,75.0820190521364
"us-gaap_AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent",105,0.207518083718724,75.2895371358552
"us-gaap_DeferredRevenueNoncurrent",105,0.207518083718724,75.4970552195739
"PrepaidExpenseAndOtherAssetsCurrent",100,0.197636270208309,75.6946914897822
"us-gaap_DeferredTaxAssetsLiabilitiesNetNoncurrent",100,0.197636270208309,75.8923277599905
"us-gaap_PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent",92,0.181825368591644,76.0741531285822
"us-gaap_CashCashEquivalentsAndShortTermInvestments",90,0.177872643187478,76.2520257717696
"LongTermDebtNoncurrent",88,0.173919917783312,76.4259456895529
"OtherAssetsCurrent",88,0.173919917783312,76.5998656073363
"us-gaap_AssetsNoncurrent",86,0.169967192379145,76.7698327997154
"us-gaap_LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent",86,0.169967192379145,76.9397999920945
"LongTermDebtCurrent",85,0.167990829677062,77.1077908217716
"us-gaap_DueToRelatedPartiesCurrent",82,0.162061741570813,77.2698525633424
"us-gaap_InventoryGross",82,0.162061741570813,77.4319143049132
"us-gaap_TemporaryEquityCarryingAmountAttributableToParent",81,0.16008537886873,77.591999683782
"DeferredTaxAssetsNetCurrent",78,0.154156290762481,77.7461559745445
"DeferredTaxLiabilitiesNoncurrent",78,0.154156290762481,77.9003122653069
"us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue",76,0.150203565358315,78.0505158306652
"us-gaap_DividendsPayableCurrent",74,0.146250839954148,78.1967666706194
"us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent",72,0.142298114549982,78.3390647851694
"us-gaap_NotesAndLoansReceivableNetNoncurrent",71,0.140321751847899,78.4793865370173
"us-gaap_AccountsAndOtherReceivablesNetCurrent",70,0.138345389145816,78.6177319261631
"MinorityInterest",69,0.136369026443733,78.7541009526068
"DeferredTaxAssetsNetNoncurrent",68,0.13439266374165,78.8884936163485
"us-gaap_Cash",68,0.13439266374165,79.0228862800901
"us-gaap_CommonStocksIncludingAdditionalPaidInCapital",68,0.13439266374165,79.1572789438318
"us-gaap_DeferredCompensationLiabilityClassifiedNoncurrent",68,0.13439266374165,79.2916716075734
"us-gaap_Deposits",64,0.126487212933318,79.4181588205067
"EmployeeRelatedLiabilitiesCurrent",63,0.124510850231234,79.542669670738
"us-gaap_LinesOfCreditCurrent",63,0.124510850231234,79.6671805209692
"PrepaidExpenseCurrent",61,0.120558124827068,79.7877386457963
"us-gaap_InterestPayableCurrent",61,0.120558124827068,79.9082967706233
"OperatingLeaseRightOfUseAsset",60,0.118581762124985,80.0268785327483
"OperatingLeaseLiabilityNoncurrent",59,0.116605399422902,80.1434839321712
"us-gaap_IncomeTaxesReceivableNoncurrent",59,0.116605399422902,80.2600893315941
"us-gaap_Land",59,0.116605399422902,80.376694731017
"us-gaap_LongTermInvestments",59,0.116605399422902,80.4933001304399
"us-gaap_DepositsAssetsCurrent",58,0.114629036720819,80.6079291671608
"us-gaap_AccruedIncomeTaxesNoncurrent",57,0.112652674018736,80.7205818411795
"us-gaap_NotesPayableRelatedPartiesClassifiedCurrent",57,0.112652674018736,80.8332345151982
"us-gaap_MarketableSecuritiesCurrent",56,0.110676311316653,80.9439108265149
"FiniteLivedIntangibleAssetsNet",55,0.10869994861457,81.0526107751295
"us-gaap_AccountsNotesAndLoansReceivableNetCurrent",55,0.10869994861457,81.161310723744
"us-gaap_OtherIntangibleAssetsNet",54,0.106723585912487,81.2680343096565
"OtherLiabilitiesCurrent",53,0.104747223210404,81.3727815328669
"us-gaap_ContractWithCustomerAssetNetCurrent",53,0.104747223210404,81.4775287560773
"us-gaap_OtherReceivables",53,0.104747223210404,81.5822759792877
"us-gaap_NotesAndLoansReceivableNetCurrent",51,0.100794497806237,81.6830704770939
"us-gaap_AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax",50,0.0988181351041543,81.7818886121981
"us-gaap_DeferredTaxAssetsLiabilitiesNetCurrent",50,0.0988181351041543,81.8807067473023
"LongTermDebtAndCapitalLeaseObligations",49,0.0968417724020712,81.9775485197043
"us-gaap_FinanceLeaseLiabilityCurrent",49,0.0968417724020712,82.0743902921064
"us-gaap_FinanceLeaseLiabilityNoncurrent",49,0.0968417724020712,82.1712320645085
"us-gaap_StockholdersEquityBeforeTreasuryStock",49,0.0968417724020712,82.2680738369105
"us-gaap_TreasuryStockCommonValue",49,0.0968417724020712,82.3649156093126
"IncomeTaxesReceivable",48,0.0948654096999881,82.4597810190126
"ShortTermBorrowings",48,0.0948654096999881,82.5546464287126
"us-gaap_DebtCurrent",48,0.0948654096999881,82.6495118384126
"us-gaap_DeferredTaxLiabilitiesCurrent",48,0.0948654096999881,82.7443772481126
"us-gaap_RestrictedCashCurrent",48,0.0948654096999881,82.8392426578126
"OperatingLeaseLiabilityCurrent",47,0.0928890469979051,82.9321317048105
"us-gaap_CustomerAdvancesAndDepositsCurrent",47,0.0928890469979051,83.0250207518084
"us-gaap_DerivativeLiabilitiesNoncurrent",47,0.0928890469979051,83.1179097988063
"us-gaap_AccountsPayableRelatedPartiesCurrent",46,0.090912684295822,83.2088224831021
"us-gaap_LongTermDebt",46,0.090912684295822,83.2997351673979
"AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment",45,0.0889363215937389,83.3886714889917
"LongTermDebtAndCapitalLeaseObligationsCurrent",45,0.0889363215937389,83.4776078105854
"us-gaap_NotesPayableCurrent",45,0.0889363215937389,83.5665441321791
"InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures",44,0.0869599588916558,83.6535040910708
"us-gaap_AvailableForSaleSecuritiesDebtSecuritiesNoncurrent",44,0.0869599588916558,83.7404640499625
"us-gaap_LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent",44,0.0869599588916558,83.8274240088541
"DeferredRevenueCurrent",43,0.0849835961895727,83.9124076050437
