"concept","n","percentage","cumulative_percentage"
"us-gaap_ShareBasedCompensation",1173,2.42771695262537,2.42771695262537
"us-gaap_NetCashProvidedByUsedInOperatingActivities",1102,2.28077074321667,4.70848769584204
"us-gaap_NetCashProvidedByUsedInFinancingActivities",1070,2.2145414657367,6.92302916157874
"us-gaap_NetCashProvidedByUsedInInvestingActivities",1019,2.10898855475299,9.03201771633173
"us-gaap_PaymentsToAcquirePropertyPlantAndEquipment",929,1.92271871184055,10.9547364281723
"us-gaap_NetIncomeLoss",780,1.61433863857441,12.5690750667467
"us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets",740,1.53155204172444,14.1006271084711
"us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease",678,1.40323281660699,15.5038599250781
"us-gaap_DepreciationDepletionAndAmortization",655,1.35563052341826,16.8594904484964
"us-gaap_IncreaseDecreaseInAccountsReceivable",645,1.33493387420577,18.1944243227022
"us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect",621,1.28526191609578,19.4796862387979
"us-gaap_IncreaseDecreaseInInventories",606,1.25421694227705,20.733903181075
"us-gaap_IncreaseDecreaseInAccountsPayable",585,1.21075397893081,21.9446571600058
"us-gaap_DeferredIncomeTaxExpenseBenefit",582,1.20454498416706,23.1492021441729
"us-gaap_RepaymentsOfLongTermDebt",581,1.20247531924581,24.3516774634187
"us-gaap_PaymentsForRepurchaseOfCommonStock",568,1.17556967526957,25.5272471386882
"us-gaap_ProfitLoss",549,1.13624604176584,26.6634931804541
"us-gaap_ProceedsFromStockOptionsExercised",532,1.1010617381046,27.7645549185587
"us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities",478,0.989299832357141,28.7538547509158
"us-gaap_OtherNoncashIncomeExpense",430,0.889955916137177,29.643810667053
"us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations",388,0.803029989444709,30.4468406564977
"us-gaap_InterestPaidNet",387,0.80096032452346,31.2478009810212
"us-gaap_IncreaseDecreaseInOtherOperatingAssets",368,0.761636691019724,32.0094376720409
"us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment",366,0.757497361177225,32.7669350332181
"us-gaap_IncreaseDecreaseInAccruedLiabilities",357,0.738870376885982,33.5058054101041
"us-gaap_PaymentsForProceedsFromOtherInvestingActivities",356,0.736800711964733,34.2426061220688
"us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations",352,0.728522052279736,34.9711281743486
"us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired",352,0.728522052279736,35.6996502266283
"us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents",348,0.720243392594739,36.419893619223
"us-gaap_DepreciationAndAmortization",346,0.71610406275224,37.1359976819753
"us-gaap_ProceedsFromIssuanceOfCommonStock",337,0.697477078460997,37.8334747604363
"us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations",324,0.670571434484757,38.504046194921
"us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation",305,0.631247800981021,39.1352939959021
"us-gaap_ProceedsFromIssuanceOfLongTermDebt",305,0.631247800981021,39.7665417968831
"us-gaap_ProvisionForDoubtfulAccounts",288,0.596063497319784,40.3626052942029
"us-gaap_IncomeTaxesPaidNet",272,0.562948858579796,40.9255541527827
"us-gaap_IncreaseDecreaseInReceivables",270,0.558809528737297,41.48436368152
"us-gaap_ProceedsFromPaymentsForOtherFinancingActivities",268,0.554670198894799,42.0390338804148
"us-gaap_PaymentsOfDividendsCommonStock",267,0.55260053397355,42.5916344143883
"us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents",263,0.544321874288553,43.1359562886769
"us-gaap_IncreaseDecreaseInContractWithCustomerLiability",251,0.519485895233562,43.6554421839104
"us-gaap_IncomeLossFromEquityMethodInvestments",249,0.515346565391063,44.1707887493015
"NetCashProvidedByUsedInOperatingActivities",244,0.504998240784817,44.6757869900863
"NetCashProvidedByUsedInFinancingActivities",236,0.488440921414823,45.1642279115011
"us-gaap_CapitalExpendituresIncurredButNotYetPaid",236,0.488440921414823,45.6526688329159
"ShareBasedCompensation",235,0.486371256493574,46.1390400894095
"us-gaap_PaymentsOfDividends",229,0.473953266966078,46.6129933563756
"NetCashProvidedByUsedInInvestingActivities",226,0.46774427220233,47.0807376285779
"us-gaap_PaymentsToAcquireProductiveAssets",226,0.46774427220233,47.5484819007803
"us-gaap_AmortizationOfFinancingCosts",225,0.465674607281081,48.0141565080613
"us-gaap_IncreaseDecreaseInDeferredRevenue",223,0.461535277438583,48.4756917854999
"us-gaap_PaymentsOfDebtIssuanceCosts",216,0.447047622989838,48.9227394084898
"us-gaap_AmortizationOfFinancingCostsAndDiscounts",213,0.44083862822609,49.3635780367159
"us-gaap_IncomeTaxesPaid",211,0.436699298383592,49.8002773350994
"us-gaap_IncreaseDecreaseInEmployeeRelatedLiabilities",207,0.428420638698595,50.228697973798
"us-gaap_ExcessTaxBenefitFromShareBasedCompensationFinancingActivities",195,0.403584659643604,50.6322826334416
"us-gaap_InterestPaid",194,0.401514994722354,51.033797628164
"CashAndCashEquivalentsPeriodIncreaseDecrease",189,0.391166670116108,51.4249642982801
"us-gaap_IncreaseDecreaseInPrepaidExpense",188,0.389097005194859,51.814061303475
"PaymentsToAcquirePropertyPlantAndEquipment",186,0.38495767535236,52.1990189788273
"us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet",174,0.360121696297369,52.5591406751247
"us-gaap_Depreciation",169,0.349773371691123,52.9089140468158
"us-gaap_GainLossOnSaleOfPropertyPlantEquipment",169,0.349773371691123,53.2586874185069
"us-gaap_GainsLossesOnExtinguishmentOfDebt",165,0.341494712006126,53.6001821305131
"us-gaap_IncreaseDecreaseInOtherOperatingLiabilities",160,0.33114638739988,53.931328517913
"NetIncomeLoss",157,0.324937392636132,54.2562659105491
"us-gaap_EquityMethodInvestmentDividendsOrDistributions",155,0.320798062793634,54.5770639733427
"us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities",145,0.300101413581141,54.8771653869239
"us-gaap_IncreaseDecreaseInOtherAccruedLiabilities",143,0.295962083738643,55.1731274706625
"us-gaap_PaymentsToAcquireIntangibleAssets",143,0.295962083738643,55.4690895544011
"us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities",143,0.295962083738643,55.7650516381398
"us-gaap_ProceedsFromRepaymentsOfShortTermDebt",143,0.295962083738643,56.0610137218784
"IncreaseDecreaseInInventories",138,0.285613759132396,56.3466274810108
"us-gaap_OtherOperatingActivitiesCashFlowStatement",130,0.269056439762402,56.6156839207732
"us-gaap_RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability",126,0.260777780077405,56.8764617008506
"IncreaseDecreaseInAccountsPayable",125,0.258708115156156,57.1351698160068
"ProfitLoss",125,0.258708115156156,57.3938779311629
"us-gaap_PaymentsToAcquireInvestments",122,0.252499120392408,57.6463770515554
"us-gaap_PaymentsToAcquireMarketableSecurities",122,0.252499120392408,57.8988761719478
"IncreaseDecreaseInAccountsReceivable",121,0.250429455471159,58.1493056274189
"us-gaap_AccretionAmortizationOfDiscountsAndPremiumsInvestments",121,0.250429455471159,58.3997350828901
"us-gaap_GainLossOnDispositionOfAssets1",121,0.250429455471159,58.6501645383612
"us-gaap_DeferredIncomeTaxesAndTaxCredits",118,0.244220460707411,58.8943849990686
"us-gaap_ExcessTaxBenefitFromShareBasedCompensationOperatingActivities",118,0.244220460707411,59.1386054597761
"EffectOfExchangeRateOnCashAndCashEquivalents",116,0.240081130864913,59.378686590641
"IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets",116,0.240081130864913,59.6187677215059
"us-gaap_AssetImpairmentCharges",114,0.235941801022414,59.8547095225283
"us-gaap_IncreaseDecreaseInAccountsPayableTrade",112,0.231802471179916,60.0865119937082
"us-gaap_ProceedsFromLinesOfCredit",112,0.231802471179916,60.3183144648881
"us-gaap_RepaymentsOfLinesOfCredit",110,0.227663141337417,60.5459776062256
"us-gaap_CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations",108,0.223523811494919,60.7695014177205
"us-gaap_IncreaseDecreaseInIncomeTaxesReceivable",108,0.223523811494919,60.9930252292154
"IncreaseDecreaseInAccruedLiabilities",107,0.22145414657367,61.2144793757891
"us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable",107,0.22145414657367,61.4359335223627
"us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities",107,0.22145414657367,61.6573876689364
"DeferredIncomeTaxExpenseBenefit",106,0.21938448165242,61.8767721505888
"us-gaap_IncreaseDecreaseInInterestPayableNet",106,0.21938448165242,62.0961566322412
"us-gaap_PaymentsOfFinancingCosts",104,0.215245151809922,62.3114017840512
"us-gaap_RepaymentsOfDebt",103,0.213175486888673,62.5245772709398
"PaymentsForRepurchaseOfCommonStock",101,0.209036157046174,62.733613427986
"ProceedsFromStockOptionsExercised",100,0.206966492124925,62.9405799201109
"DepreciationDepletionAndAmortization",99,0.204896827203676,63.1454767473146
"OtherNoncashIncomeExpense",98,0.202827162282426,63.348303909597
"RepaymentsOfLongTermDebt",97,0.200757497361177,63.5490614069582
"us-gaap_PaymentsOfStockIssuanceCosts",96,0.198687832439928,63.7477492393981
"us-gaap_DepreciationAmortizationAndAccretionNet",95,0.196618167518679,63.9443674069168
"us-gaap_IncomeLossFromContinuingOperations",94,0.194548502597429,64.1389159095143
"us-gaap_ProceedsFromDivestitureOfBusinesses",89,0.184200177991183,64.3231160875054
"ProceedsFromSaleOfPropertyPlantAndEquipment",88,0.182130513069934,64.5052466005754
"us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities",87,0.180060848148685,64.685307448724
"PaymentsToAcquireBusinessesNetOfCashAcquired",85,0.175921518306186,64.8612289670302
"us-gaap_PaidInKindInterest",84,0.173851853384937,65.0350808204152
"us-gaap_ProceedsFromIssuanceOfDebt",84,0.173851853384937,65.2089326738001
"IncreaseDecreaseInAccountsPayableAndAccruedLiabilities",83,0.171782188463688,65.3807148622638
"us-gaap_IncreaseDecreaseInOtherCurrentAssets",83,0.171782188463688,65.5524970507275
"us-gaap_PaymentsForProceedsFromProductiveAssets",83,0.171782188463688,65.7242792391912
"us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesDebt",82,0.169712523542438,65.8939917627336
"ExcessTaxBenefitFromShareBasedCompensationFinancingActivities",81,0.167642858621189,66.0616346213548
"us-gaap_IncreaseDecreaseInOtherNoncurrentAssets",81,0.167642858621189,66.229277479976
"us-gaap_GainLossOnInvestments",80,0.16557319369994,66.3948506736759
"us-gaap_IncreaseDecreaseInOperatingCapital",79,0.163503528778691,66.5583542024546
"us-gaap_ProceedsFromSaleMaturityAndCollectionsOfInvestments",79,0.163503528778691,66.7218577312333
"us-gaap_ProceedsFromStockPlans",79,0.163503528778691,66.885361260012
"us-gaap_IncreaseDecreaseInOperatingLeaseLiability",78,0.161433863857441,67.0467951238694
"us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt",78,0.161433863857441,67.2082289877269
"PaymentsForProceedsFromOtherInvestingActivities",77,0.159364198936192,67.3675931866631
"us-gaap_PaymentsOfDividendsMinorityInterest",77,0.159364198936192,67.5269573855993
"us-gaap_CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations",76,0.157294534014943,67.6842519196142
"us-gaap_ForeignCurrencyTransactionGainLossUnrealized",76,0.157294534014943,67.8415464536292
"us-gaap_RepaymentsOfLongTermCapitalLeaseObligations",75,0.155224869093694,67.9967713227229
"us-gaap_RepaymentsOfNotesPayable",75,0.155224869093694,68.1519961918166
"ProceedsFromIssuanceOfCommonStock",74,0.153155204172444,68.305151395989
"us-gaap_PaymentsToAcquireAvailableForSaleSecurities",74,0.153155204172444,68.4583066001614
"us-gaap_ProceedsFromLongTermLinesOfCredit",73,0.151085539251195,68.6093921394126
"us-gaap_StockIssued1",73,0.151085539251195,68.7604776786638
"us-gaap_GainLossOnSaleOfBusiness",71,0.146946209408697,68.9074238880725
"IncreaseDecreaseInOtherOperatingAssets",70,0.144876544487447,69.05230043256
"us-gaap_IncreaseDecreaseInDeferredIncomeTaxes",70,0.144876544487447,69.1971769770474
"us-gaap_PaymentsToMinorityShareholders",69,0.142806879566198,69.3399838566136
"ProceedsFromPaymentsForOtherFinancingActivities",67,0.1386675497237,69.4786514063373
"us-gaap_IncreaseDecreaseInRestrictedCash",67,0.1386675497237,69.617318956061
"us-gaap_ProceedsFromDivestitureOfBusinessesNetOfCashDivested",67,0.1386675497237,69.7559865057847
"us-gaap_IncreaseDecreaseInDeposits",66,0.13659788480245,69.8925843905872
"us-gaap_OperatingLeaseRightOfUseAssetAmortizationExpense",66,0.13659788480245,70.0291822753896
"us-gaap_ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions",65,0.134528219881201,70.1637104952708
"us-gaap_FairValueAdjustmentOfWarrants",64,0.132458554959952,70.2961690502308
"DepreciationAndAmortization",63,0.130388890038703,70.4265579402695
"us-gaap_IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable",63,0.130388890038703,70.5569468303082
"us-gaap_ProceedsFromShortTermDebt",63,0.130388890038703,70.6873357203469
"us-gaap_RepaymentsOfLongTermLinesOfCredit",63,0.130388890038703,70.8177246103856
"us-gaap_IncreaseDecreaseInCustomerDeposits",61,0.126249560196204,70.9439741705818
"IncomeLossFromEquityMethodInvestments",60,0.124179895274955,71.0681540658567
"us-gaap_GainLossOnDispositionOfAssets",60,0.124179895274955,71.1923339611317
"us-gaap_ProceedsFromPaymentsToMinorityShareholders",60,0.124179895274955,71.3165138564066
"us-gaap_ProceedsFromSaleOfAvailableForSaleSecurities",60,0.124179895274955,71.4406937516816
"CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect",58,0.120040565432456,71.5607343171141
"us-gaap_PaymentsToAcquireFinanceReceivables",58,0.120040565432456,71.6807748825465
"us-gaap_IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities",57,0.117970900511207,71.7987457830577
"IncreaseDecreaseInOtherOperatingLiabilities",56,0.115901235589958,71.9146470186477
"us-gaap_AmortizationOfDebtDiscountPremium",56,0.115901235589958,72.0305482542376
"us-gaap_IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet",56,0.115901235589958,72.1464494898276
"us-gaap_ProceedsFromIssuanceOrSaleOfEquity",56,0.115901235589958,72.2623507254176
"us-gaap_EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations",55,0.113831570668709,72.3761822960863
"us-gaap_IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities",55,0.113831570668709,72.490013866755
"us-gaap_PaymentsToAcquireShortTermInvestments",55,0.113831570668709,72.6038454374237
"us-gaap_ProceedsFromWarrantExercises",55,0.113831570668709,72.7176770080924
"IncreaseDecreaseInReceivables",54,0.111761905747459,72.8294389138399
"ProvisionForDoubtfulAccounts",54,0.111761905747459,72.9412008195873
"us-gaap_IncreaseDecreaseInAccruedTaxesPayable",54,0.111761905747459,73.0529627253348
"us-gaap_IncreaseDecreaseInOtherCurrentLiabilities",53,0.10969224082621,73.162654966161
"us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations",51,0.105552910983712,73.2682078771447
"us-gaap_FinanceLeasePrincipalPayments",51,0.105552910983712,73.3737607881284
"us-gaap_OperatingLeasePayments",51,0.105552910983712,73.4793136991121
"us-gaap_InventoryWriteDown",50,0.103483246062462,73.5827969451746
"us-gaap_ProceedsFromRelatedPartyDebt",50,0.103483246062462,73.686280191237
"us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest",49,0.101413581141213,73.7876937723782
"us-gaap_IssuanceOfStockAndWarrantsForServicesOrClaims",49,0.101413581141213,73.8891073535195
"InterestPaid",48,0.099343916219964,73.9884512697394
"us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity",48,0.099343916219964,74.0877951859594
"InterestPaidNet",47,0.0972742512987147,74.1850694372581
"IncreaseDecreaseInDeferredRevenue",46,0.0952045863774655,74.2802740236356
"us-gaap_ProceedsFromNotesPayable",46,0.0952045863774655,74.375478610013
"RepaymentsOfDebt",45,0.0931349214562162,74.4686135314693
"us-gaap_BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1",45,0.0931349214562162,74.5617484529255
"us-gaap_AdjustmentForAmortization",44,0.091065256534967,74.6528137094604
"us-gaap_IncreaseDecreaseInDueFromRelatedPartiesCurrent",44,0.091065256534967,74.7438789659954
"us-gaap_PaymentsOfDebtExtinguishmentCosts",44,0.091065256534967,74.8349442225304
"IncomeTaxesPaid",43,0.0889955916137177,74.9239398141441
"us-gaap_AmortizationOfIntangibleAssets",43,0.0889955916137177,75.0129354057578
"us-gaap_IncreaseDecreaseInOtherReceivables",43,0.0889955916137177,75.1019309973715
"us-gaap_ProceedsFromConvertibleDebt",42,0.0869259266924685,75.188856924064
"us-gaap_ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital",42,0.0869259266924685,75.2757828507565
"us-gaap_RepaymentsOfShortTermDebt",42,0.0869259266924685,75.3627087774489
"IncomeTaxesPaidNet",41,0.0848562617712192,75.4475650392202
"us-gaap_ProceedsFromIssuanceInitialPublicOffering",41,0.0848562617712192,75.5324213009914
"Depreciation",40,0.08278659684997,75.6152078978413
"NetCashProvidedByUsedInOperatingActivitiesContinuingOperations",40,0.08278659684997,75.6979944946913
"us-gaap_IncreaseDecreaseInContractWithCustomerAsset",40,0.08278659684997,75.7807810915413
"us-gaap_IncreaseDecreaseInDueToRelatedPartiesCurrent",40,0.08278659684997,75.8635676883913
"us-gaap_PaymentsToAcquireBusinessesAndInterestInAffiliates",40,0.08278659684997,75.9463542852412
"DeferredIncomeTaxesAndTaxCredits",39,0.0807169319287207,76.0270712171699
"PaymentsOfDividends",39,0.0807169319287207,76.1077881490987
"ProceedsFromIssuanceOfDebt",39,0.0807169319287207,76.1885050810274
"us-gaap_CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations",39,0.0807169319287207,76.2692220129561
"us-gaap_IncreaseDecreaseInAccountsAndNotesReceivable",39,0.0807169319287207,76.3499389448848
"us-gaap_IncreaseDecreaseInDerivativeLiabilities",39,0.0807169319287207,76.4306558768135
"us-gaap_PaymentsToAcquireEquityMethodInvestments",39,0.0807169319287207,76.5113728087423
"IncreaseDecreaseInPrepaidExpense",38,0.0786472670074715,76.5900200757497
"ProceedsFromIssuanceOfLongTermDebt",38,0.0786472670074715,76.6686673427572
"us-gaap_IncreaseDecreaseInAccountsAndOtherReceivables",38,0.0786472670074715,76.7473146097647
"us-gaap_ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess",38,0.0786472670074715,76.8259618767722
"IncreaseDecreaseInOtherOperatingCapitalNet",37,0.0765776020862222,76.9025394788584
"us-gaap_ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans",37,0.0765776020862222,76.9791170809446
"us-gaap_ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments",37,0.0765776020862222,77.0556946830308
"EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents",36,0.074507937164973,77.1302026201958
"ExcessTaxBenefitFromShareBasedCompensationOperatingActivities",36,0.074507937164973,77.2047105573608
"PaymentsToAcquireProductiveAssets",36,0.074507937164973,77.2792184945257
"us-gaap_PaymentsForProceedsFromInvestments",36,0.074507937164973,77.3537264316907
"us-gaap_PaymentsToAcquireBusinessesGross",36,0.074507937164973,77.4282343688557
"us-gaap_UnrealizedGainLossOnDerivatives",36,0.074507937164973,77.5027423060207
"IncreaseDecreaseInAccruedIncomeTaxesPayable",35,0.0724382722437237,77.5751805782644
"NetCashProvidedByUsedInInvestingActivitiesContinuingOperations",35,0.0724382722437237,77.6476188505081
