"concept","n","percentage","cumulative_percentage"
"us-gaap_NetIncomeLoss",1305,3.33546325878594,3.33546325878594
"us-gaap_OperatingIncomeLoss",1263,3.22811501597444,6.56357827476038
"us-gaap_IncomeTaxExpenseBenefit",1124,2.87284345047923,9.43642172523962
"us-gaap_EarningsPerShareBasic",1024,2.61725239616613,12.0536741214058
"us-gaap_EarningsPerShareDiluted",1001,2.55846645367412,14.6121405750799
"us-gaap_WeightedAverageNumberOfSharesOutstandingBasic",996,2.54568690095847,17.1578274760383
"us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding",992,2.53546325878594,19.6932907348243
"us-gaap_ComprehensiveIncomeNetOfTax",897,2.2926517571885,21.9859424920128
"us-gaap_OtherNonoperatingIncomeExpense",863,2.20575079872205,24.1916932907348
"us-gaap_InterestExpense",833,2.12907348242811,26.3207667731629
"us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest",788,2.01405750798722,28.3348242811502
"us-gaap_GeneralAndAdministrativeExpense",724,1.85047923322684,30.185303514377
"us-gaap_OperatingExpenses",639,1.6332268370607,31.8185303514377
"us-gaap_GrossProfit",625,1.59744408945687,33.4159744408946
"us-gaap_SellingGeneralAndAdministrativeExpense",595,1.52076677316294,34.9367412140575
"us-gaap_ResearchAndDevelopmentExpense",580,1.48242811501597,36.4191693290735
"us-gaap_NonoperatingIncomeExpense",554,1.41597444089457,37.835143769968
"us-gaap_Revenues",525,1.34185303514377,39.1769968051118
"us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax",495,1.26517571884984,40.4421725239617
"us-gaap_CostOfGoodsAndServicesSold",453,1.15782747603834,41.6
"us-gaap_ProfitLoss",437,1.11693290734824,42.7169329073482
"us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax",427,1.09137380191693,43.8083067092652
"us-gaap_OtherComprehensiveIncomeLossNetOfTax",422,1.07859424920128,44.8869009584665
"us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest",363,0.927795527156549,45.814696485623
"us-gaap_IncomeLossFromEquityMethodInvestments",363,0.927795527156549,46.7424920127796
"us-gaap_EarningsPerShareBasicAndDiluted",357,0.912460063897764,47.6549520766773
"us-gaap_NetIncomeLossAttributableToNoncontrollingInterest",339,0.866453674121406,48.5214057507987
"us-gaap_WeightedAverageNumberOfShareOutstandingBasicAndDiluted",318,0.812779552715655,49.3341853035144
"us-gaap_InvestmentIncomeInterest",303,0.77444089456869,50.1086261980831
"us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",302,0.771884984025559,50.8805111821086
"us-gaap_CostsAndExpenses",261,0.667092651757189,51.5476038338658
"us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest",257,0.656869009584665,52.2044728434505
"NetIncomeLoss",253,0.646645367412141,52.8511182108626
"us-gaap_CommonStockDividendsPerShareDeclared",236,0.603194888178914,53.4543130990415
"us-gaap_CostOfRevenue",236,0.603194888178914,54.0575079872204
"us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic",235,0.600638977635783,54.6581469648562
"IncomeTaxExpenseBenefit",233,0.595527156549521,55.2536741214058
"us-gaap_SellingAndMarketingExpense",230,0.587859424920128,55.8415335463259
"OperatingIncomeLoss",227,0.580191693290735,56.4217252396166
"us-gaap_IncomeLossFromContinuingOperations",213,0.544408945686901,56.9661341853035
"us-gaap_CostOfGoodsSold",212,0.54185303514377,57.5079872204473
"us-gaap_IncomeLossFromContinuingOperationsPerBasicShare",202,0.51629392971246,58.0242811501597
"us-gaap_IncomeLossFromContinuingOperationsPerDilutedShare",200,0.511182108626198,58.5354632587859
"us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax",195,0.498402555910543,59.0338658146965
"InterestExpense",194,0.495846645367412,59.5297124600639
"us-gaap_SalesRevenueNet",191,0.488178913738019,60.0178913738019
"us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent",186,0.475399361022364,60.4932907348243
"us-gaap_InterestIncomeExpenseNet",181,0.462619808306709,60.955910543131
"EarningsPerShareBasic",179,0.457507987220447,61.4134185303514
"WeightedAverageNumberOfDilutedSharesOutstanding",177,0.452396166134185,61.8658146964856
"EarningsPerShareDiluted",175,0.447284345047923,62.3130990415335
"WeightedAverageNumberOfSharesOutstandingBasic",172,0.43961661341853,62.7527156549521
"ComprehensiveIncomeNetOfTax",168,0.429392971246006,63.1821086261981
"OtherNonoperatingIncomeExpense",161,0.411501597444089,63.5936102236422
"GeneralAndAdministrativeExpense",153,0.391054313099042,63.9846645367412
"us-gaap_OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax",144,0.368051118210863,64.3527156549521
"us-gaap_DepreciationAndAmortization",140,0.357827476038339,64.7105431309904
"us-gaap_SalesRevenueGoodsNet",137,0.350159744408946,65.0607028753994
"us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity",133,0.339936102236422,65.4006389776358
"us-gaap_AmortizationOfIntangibleAssets",132,0.337380191693291,65.7380191693291
"ProfitLoss",130,0.332268370607029,66.0702875399361
"us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest",130,0.332268370607029,66.4025559105431
"us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax",129,0.329712460063898,66.732268370607
"GrossProfit",125,0.319488817891374,67.0517571884984
"us-gaap_GainsLossesOnExtinguishmentOfDebt",125,0.319488817891374,67.3712460063898
"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest",124,0.316932907348243,67.688178913738
"us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTax",122,0.311821086261981,68
"us-gaap_LaborAndRelatedExpense",120,0.306709265175719,68.3067092651757
"us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare",118,0.301597444089457,68.6083067092652
"us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax",117,0.299041533546326,68.9073482428115
"us-gaap_CostOfServices",116,0.296485623003195,69.2038338658147
"Revenues",115,0.293929712460064,69.4977635782748
"us-gaap_SalesRevenueServicesNet",115,0.293929712460064,69.7916932907348
"us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare",113,0.288817891373802,70.0805111821086
"OperatingExpenses",109,0.278594249201278,70.3591054313099
"IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",107,0.273482428115016,70.6325878594249
"ResearchAndDevelopmentExpense",97,0.247923322683706,70.8805111821086
"SellingGeneralAndAdministrativeExpense",97,0.247923322683706,71.1284345047923
"us-gaap_OtherOperatingIncomeExpenseNet",96,0.245367412140575,71.3738019169329
"us-gaap_DepreciationDepletionAndAmortization",93,0.237699680511182,71.6115015974441
"NonoperatingIncomeExpense",92,0.235143769968051,71.8466453674121
"us-gaap_ProfessionalFees",90,0.230031948881789,72.0766773162939
"ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest",87,0.222364217252396,72.2990415335463
"us-gaap_InterestIncomeExpenseNonoperatingNet",87,0.222364217252396,72.5214057507987
"us-gaap_OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax",86,0.219808306709265,72.741214057508
"us-gaap_MarketingAndAdvertisingExpense",85,0.217252396166134,72.9584664536741
"us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent",84,0.214696485623003,73.1731629392971
"OtherComprehensiveIncomeLossNetOfTax",82,0.209584664536741,73.3827476038339
"CostOfGoodsSold",81,0.20702875399361,73.5897763578275
"us-gaap_OperatingCostsAndExpenses",76,0.194249201277955,73.7840255591054
"us-gaap_CommonStockDividendsPerShareCashPaid",75,0.191693290734824,73.9757188498403
"us-gaap_FairValueAdjustmentOfWarrants",75,0.191693290734824,74.1674121405751
"CostOfGoodsAndServicesSold",74,0.189137380191693,74.3565495207668
"us-gaap_ForeignCurrencyTransactionGainLossBeforeTax",73,0.186581469648562,74.5431309904153
"NetIncomeLossAttributableToNoncontrollingInterest",72,0.184025559105431,74.7271565495208
"SalesRevenueNet",70,0.178913738019169,74.9060702875399
"us-gaap_OccupancyNet",70,0.178913738019169,75.0849840255591
"us-gaap_RestructuringCharges",69,0.176357827476038,75.2613418530351
"us-gaap_OtherIncome",68,0.173801916932907,75.4351437699681
"IncomeLossFromEquityMethodInvestments",67,0.171246006389776,75.6063897763578
"NetIncomeLossAvailableToCommonStockholdersBasic",67,0.171246006389776,75.7776357827476
"OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax",66,0.168690095846645,75.9463258785943
"us-gaap_OtherCostAndExpenseOperating",65,0.166134185303514,76.1124600638978
"InvestmentIncomeInterest",64,0.163578274760383,76.2760383386582
"us-gaap_NoninterestExpense",64,0.163578274760383,76.4396166134185
"us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax",64,0.163578274760383,76.6031948881789
"EarningsPerShareBasicAndDiluted",63,0.161022364217252,76.7642172523962
"us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax",63,0.161022364217252,76.9252396166134
"us-gaap_InterestExpenseOther",62,0.158466453674121,77.0837060702875
"SalesRevenueGoodsNet",58,0.148242811501597,77.2319488817891
"us-gaap_InvestmentIncomeNonoperating",58,0.148242811501597,77.3801916932907
"us-gaap_DiscontinuedOperationTaxEffectOfDiscontinuedOperation",56,0.143130990415335,77.5233226837061
"us-gaap_GainLossOnSaleOfPropertyPlantEquipment",56,0.143130990415335,77.6664536741214
"CostOfRevenue",54,0.138019169329073,77.8044728434505
"us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax",54,0.138019169329073,77.9424920127796
"us-gaap_InterestIncomeDepositsWithFinancialInstitutions",53,0.135463258785942,78.0779552715655
"us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax",52,0.132907348242812,78.2108626198083
"us-gaap_OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax",52,0.132907348242812,78.3437699680511
"us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax",52,0.132907348242812,78.4766773162939
"us-gaap_LicensesRevenue",50,0.12779552715655,78.6044728434505
"us-gaap_InvestmentIncomeInterestAndDividend",49,0.125239616613419,78.7297124600639
"us-gaap_OtherExpenses",49,0.125239616613419,78.8549520766773
"us-gaap_LicenseCosts",48,0.122683706070288,78.9776357827476
"us-gaap_MaintenanceRevenue",48,0.122683706070288,79.1003194888179
"us-gaap_PreferredStockDividendsIncomeStatementImpact",48,0.122683706070288,79.2230031948882
"ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest",47,0.120127795527157,79.3431309904153
"us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax",47,0.120127795527157,79.4632587859425
"us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax",47,0.120127795527157,79.5833865814697
"CostOfServices",45,0.115015974440895,79.6984025559105
"us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax",45,0.115015974440895,79.8134185303514
"us-gaap_OtherComprehensiveIncomeLossTax",45,0.115015974440895,79.9284345047923
"us-gaap_ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost",45,0.115015974440895,80.0434504792332
"RevenueFromContractWithCustomerExcludingAssessedTax",43,0.109904153354633,80.1533546325879
"us-gaap_FeesAndCommissions",43,0.109904153354633,80.2632587859425
"SalesRevenueServicesNet",42,0.107348242811502,80.370607028754
"WeightedAverageNumberOfShareOutstandingBasicAndDiluted",42,0.107348242811502,80.4779552715655
"us-gaap_TradingGainsLosses",42,0.107348242811502,80.585303514377
"IncomeLossFromContinuingOperationsPerBasicShare",40,0.10223642172524,80.6875399361022
"IncomeLossFromContinuingOperationsPerDilutedShare",40,0.10223642172524,80.7897763578275
"InterestIncomeExpenseNet",40,0.10223642172524,80.8920127795527
"us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent",40,0.10223642172524,80.994249201278
"us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationBeforeTax",40,0.10223642172524,81.0964856230032
"us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax",40,0.10223642172524,81.1987220447284
"SellingAndMarketingExpense",39,0.0996805111821086,81.2984025559105
"us-gaap_IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet",38,0.0971246006389776,81.3955271565495
"us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax",38,0.0971246006389776,81.4926517571885
"us-gaap_CommunicationsAndInformationTechnology",37,0.0945686900958466,81.5872204472844
"us-gaap_OtherComprehensiveIncomeLossBeforeTax",37,0.0945686900958466,81.6817891373802
"us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax",37,0.0945686900958466,81.776357827476
"us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax",37,0.0945686900958466,81.8709265175719
"us-gaap_TypeOfRevenueExtensibleList",37,0.0945686900958466,81.9654952076677
"us-gaap_Depreciation",36,0.0920127795527157,82.0575079872204
"us-gaap_InterestIncomeOperating",36,0.0920127795527157,82.1495207667732
"us-gaap_InvestmentIncomeNet",36,0.0920127795527157,82.2415335463259
"us-gaap_OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax",36,0.0920127795527157,82.3335463258786
"IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest",35,0.0894568690095847,82.4230031948882
"us-gaap_DepreciationNonproduction",35,0.0894568690095847,82.5124600638978
"us-gaap_GainLossOnDispositionOfAssets",35,0.0894568690095847,82.6019169329073
"cat_ProfitOfConsolidatedCompanies",34,0.0869009584664537,82.6888178913738
"us-gaap_BusinessCombinationAcquisitionRelatedCosts",34,0.0869009584664537,82.7757188498403
"us-gaap_DerivativeGainLossOnDerivativeNet",34,0.0869009584664537,82.8626198083067
"us-gaap_IncomeLossFromContinuingOperationsPerBasicAndDilutedShare",34,0.0869009584664537,82.9495207667732
"us-gaap_NetIncomeLossAttributableToNonredeemableNoncontrollingInterest",34,0.0869009584664537,83.0364217252396
"us-gaap_OtherSalesRevenueNet",34,0.0869009584664537,83.1233226837061
"us-gaap_RestructuringSettlementAndImpairmentProvisions",34,0.0869009584664537,83.2102236421725
"IncomeLossFromContinuingOperations",33,0.0843450479233227,83.2945686900958
"us-gaap_Communication",33,0.0843450479233227,83.3789137380192
"us-gaap_CostOfServicesMaintenanceCosts",33,0.0843450479233227,83.4632587859425
"us-gaap_InterestIncomeOther",33,0.0843450479233227,83.5476038338658
"us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax",33,0.0843450479233227,83.6319488817891
"CostsAndExpenses",32,0.0817891373801917,83.7137380191693
"us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax",32,0.0817891373801917,83.7955271565495
"AmortizationOfIntangibleAssets",31,0.0792332268370607,83.8747603833866
"IncomeLossFromDiscontinuedOperationsNetOfTax",31,0.0792332268370607,83.9539936102236
"us-gaap_AmortizationOfDebtDiscountPremium",31,0.0792332268370607,84.0332268370607
"us-gaap_DepreciationAmortizationAndAccretionNet",31,0.0792332268370607,84.1124600638978
"us-gaap_FloorBrokerageExchangeAndClearanceFees",31,0.0792332268370607,84.1916932907348
"us-gaap_InvestmentBankingRevenue",31,0.0792332268370607,84.2709265175719
"us-gaap_NoninterestIncome",31,0.0792332268370607,84.3501597444089
"us-gaap_OtherNoninterestExpense",31,0.0792332268370607,84.429392971246
"us-gaap_PrincipalInvestmentGainsLosses",31,0.0792332268370607,84.5086261980831
"OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax",30,0.0766773162939297,84.585303514377
"OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax",30,0.0766773162939297,84.6619808306709
"deck_InterestAndOtherExpense",30,0.0766773162939297,84.7386581469649
"seas_CostOfFoodMerchandiseAndOtherRevenues",30,0.0766773162939297,84.8153354632588
"us-gaap_IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity",30,0.0766773162939297,84.8920127795527
"us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare",30,0.0766773162939297,84.9686900958466
"us-gaap_NoninterestIncomeOtherOperatingIncome",30,0.0766773162939297,85.0453674121406
"us-gaap_PreferredStockDividendsAndOtherAdjustments",30,0.0766773162939297,85.1220447284345
"OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease",29,0.0741214057507987,85.1961661341853
"OtherIncome",29,0.0741214057507987,85.2702875399361
"fdp_AssetImpairmentAndOtherChargesNet",29,0.0741214057507987,85.3444089456869
"mkc_NetIncomeFromConsolidatedOperations",29,0.0741214057507987,85.4185303514377
"us-gaap_GainLossOnDispositionOfAssets1",29,0.0741214057507987,85.4926517571885
"us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest",29,0.0741214057507987,85.5667731629393
"us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent",29,0.0741214057507987,85.6408945686901
"us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax",29,0.0741214057507987,85.7150159744409
"us-gaap_ForeignCurrencyTransactionGainLossRealized",28,0.0715654952076677,85.7865814696486
"us-gaap_GoodwillImpairmentLoss",28,0.0715654952076677,85.8581469648562
"us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic",28,0.0715654952076677,85.9297124600639
"us-gaap_InterestAndDividendIncomeOperating",28,0.0715654952076677,86.0012779552716
"us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest",28,0.0715654952076677,86.0728434504792
"us-gaap_OtherComprehensiveIncomeLossTaxPortionAttributableToParent1",28,0.0715654952076677,86.1444089456869
"us-gaap_OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax",28,0.0715654952076677,86.2159744408946
"us-gaap_IncomeLossAttributableToNoncontrollingInterest",27,0.0690095846645367,86.2849840255591
"us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax",27,0.0690095846645367,86.3539936102236
"us-gaap_ProvisionForDoubtfulAccounts",27,0.0690095846645367,86.4230031948882
"cat_InterestExpenseExcludingFinancialProducts",26,0.0664536741214058,86.4894568690096
"cat_InterestExpenseOfFinancialProducts",26,0.0664536741214058,86.555910543131
"ipg_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansOtherBeforeTax",26,0.0664536741214058,86.6223642172524
"otex_AmortizationOfOtherIntangibleAssets",26,0.0664536741214058,86.6888178913738
"us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare",26,0.0664536741214058,86.7552715654952
"us-gaap_NetIncomeLossAttributableToRedeemableNoncontrollingInterest",26,0.0664536741214058,86.8217252396166
"us-gaap_TemporaryEquityDividendsAdjustment",26,0.0664536741214058,86.888178913738
"CommonStockDividendsPerShareDeclared",25,0.0638977635782748,86.9520766773163
"IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare",25,0.0638977635782748,87.0159744408946
"IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare",25,0.0638977635782748,87.0798722044728
"us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare",25,0.0638977635782748,87.1437699680511
"us-gaap_GainLossOnSaleOfBusiness",25,0.0638977635782748,87.2076677316294
"us-gaap_OtherOperatingIncome",25,0.0638977635782748,87.2715654952077
"BusinessCombinationAcquisitionRelatedCosts",24,0.0613418530351438,87.3329073482428
"LaborAndRelatedExpense",24,0.0613418530351438,87.394249201278
"mkc_SpecialCharges",24,0.0613418530351438,87.4555910543131
"nktr_NonCashInterestExpenseRelatedToSaleOfRoyalties",24,0.0613418530351438,87.5169329073482
"sum:DepreciationDepletionAmortizationAndAccretion",24,0.0613418530351438,87.5782747603834
"us-gaap_InterestIncomeDomesticDeposits",24,0.0613418530351438,87.6396166134185
"us-gaap_OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax",24,0.0613418530351438,87.7009584664537
"us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax",24,0.0613418530351438,87.7623003194888
"us-gaap_RevenueFromContractWithCustomerIncludingAssessedTax",24,0.0613418530351438,87.823642172524
"us-gaap_TemporaryEquityAccretionToRedemptionValueAdjustment",23,0.0587859424920128,87.882428115016
"us-gaap_ExplorationCosts",22,0.0562300319488818,87.9386581469649
"us-gaap_FranchiseRevenue",22,0.0562300319488818,87.9948881789137
"us-gaap_GainLossOnInvestments",22,0.0562300319488818,88.0511182108626
"us-gaap_OtherNonoperatingIncome",22,0.0562300319488818,88.1073482428115
"us-gaap_OtherSellingGeneralAndAdministrativeExpense",22,0.0562300319488818,88.1635782747604
"cabo_OperatingExpensesExcludingDepreciationAndAmortization",21,0.0536741214057508,88.2172523961661
"us-gaap_CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization",21,0.0536741214057508,88.2709265175719
"us-gaap_CostOfGoodsAndServicesSoldAmortization",21,0.0536741214057508,88.3246006389776
"us-gaap_FinancialServicesRevenue",21,0.0536741214057508,88.3782747603834
"us-gaap_UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic",21,0.0536741214057508,88.4319488817891
"ProfessionalFees",20,0.0511182108626198,88.4830670926518
"RestructuringCharges",20,0.0511182108626198,88.5341853035144
"ipg_IncomeLossfromContinuingOperationsbeforeEquityMethodInvestmentsandNoncontrollingInterest",20,0.0511182108626198,88.585303514377
"us-gaap_DisposalGroupNotDiscontinuedOperationGainLossOnDisposal",20,0.0511182108626198,88.6364217252396
"us-gaap_IncomeLossAttributableToParent",20,0.0511182108626198,88.6875399361022
"us-gaap_OtherComprehensiveIncomeDefinedBenefitPlanNetPriorServiceCostsCreditArisingDuringPeriodNetOfTax",20,0.0511182108626198,88.7386581469649
"MarketingAndAdvertisingExpense",19,0.0485623003194888,88.7872204472843
"sum:ComprehensiveIncomeLossNetOfTaxAttributableToNoncontrollingInterestExcludingPortionAttributableToNoncontrollingInterestOfWhollyOwnedIndirectSubsidiaryOfRegistrant",19,0.0485623003194888,88.8357827476038
"sum:NetIncomeLossAttributableToNoncontrollingInterestExcludingPortionAttributableToNoncontrollingInterestOfWhollyOwnedIndirectSubsidiaryOfRegistrant",19,0.0485623003194888,88.8843450479233
"us-gaap_InterestExpenseDebt",19,0.0485623003194888,88.9329073482428
"us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent",19,0.0485623003194888,88.9814696485623
"us-gaap_OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent",19,0.0485623003194888,89.0300319488818
"us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax",19,0.0485623003194888,89.0785942492013
"us-gaap_RevenuesNetOfInterestExpense",19,0.0485623003194888,89.1271565495208
"CommonStockDividendsPerShareCashPaid",18,0.0460063897763578,89.1731629392971
"IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity",18,0.0460063897763578,89.2191693290735
"OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax",18,0.0460063897763578,89.2651757188498
"OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease",18,0.0460063897763578,89.3111821086262
"aeti_JointVentureManagementRelatedExpenses",18,0.0460063897763578,89.3571884984026
"ms_OtherComprehensiveIncomeLossDebtValuationAdjustmentNetOfTax",18,0.0460063897763578,89.4031948881789
"rock_OtherComprehensiveIncomeLossMinimumPensionLiabilityNetAdjustmentNetOfTax",18,0.0460063897763578,89.4492012779553
"us-gaap_AssetImpairmentCharges",18,0.0460063897763578,89.4952076677316
"us-gaap_CostOfServicesLicensesAndServices",18,0.0460063897763578,89.541214057508
"us-gaap_GainLossOnDerivativeInstrumentsNetPretax",18,0.0460063897763578,89.5872204472843
"us-gaap_LicenseAndServicesRevenue",18,0.0460063897763578,89.6332268370607
"LicenseCosts",17,0.0434504792332268,89.6766773162939
"LicensesRevenue",17,0.0434504792332268,89.7201277955272
"OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax",17,0.0434504792332268,89.7635782747604
"OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax",17,0.0434504792332268,89.8070287539936
"csgs_RestructuringAndReorganizationCharges",17,0.0434504792332268,89.8504792332268
"nktr_LicenseCollaborationOtherRevenue",17,0.0434504792332268,89.8939297124601
"us-gaap_DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax",17,0.0434504792332268,89.9373801916933
"us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax",17,0.0434504792332268,89.9808306709265
"us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax",17,0.0434504792332268,90.0242811501597
"us-gaap_OtherCostOfOperatingRevenue",17,0.0434504792332268,90.067731629393
"us-gaap_RevenueOtherFinancialServices",17,0.0434504792332268,90.1111821086262
"GainsLossesOnExtinguishmentOfDebt",16,0.0408945686900958,90.1520766773163
"NoninterestExpense",16,0.0408945686900958,90.1929712460064
"OperatingCostsAndExpenses",16,0.0408945686900958,90.2338658146965
"OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax",16,0.0408945686900958,90.2747603833866
