"concept","n","percentage","cumulative_percentage"
"us-gaap_NetIncomeLoss",1305,3.33546325878594,3.33546325878594
"us-gaap_OperatingIncomeLoss",1263,3.22811501597444,6.56357827476038
"us-gaap_IncomeTaxExpenseBenefit",1124,2.87284345047923,9.43642172523962
"us-gaap_EarningsPerShareBasic",1024,2.61725239616613,12.0536741214058
"us-gaap_EarningsPerShareDiluted",1001,2.55846645367412,14.6121405750799
"us-gaap_WeightedAverageNumberOfSharesOutstandingBasic",996,2.54568690095847,17.1578274760383
"us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding",992,2.53546325878594,19.6932907348243
"us-gaap_ComprehensiveIncomeNetOfTax",897,2.2926517571885,21.9859424920128
"us-gaap_OtherNonoperatingIncomeExpense",863,2.20575079872205,24.1916932907348
"us-gaap_InterestExpense",833,2.12907348242811,26.3207667731629
"us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest",788,2.01405750798722,28.3348242811502
"us-gaap_GeneralAndAdministrativeExpense",724,1.85047923322684,30.185303514377
"us-gaap_OperatingExpenses",639,1.6332268370607,31.8185303514377
"us-gaap_GrossProfit",625,1.59744408945687,33.4159744408946
"us-gaap_SellingGeneralAndAdministrativeExpense",595,1.52076677316294,34.9367412140575
"us-gaap_ResearchAndDevelopmentExpense",580,1.48242811501597,36.4191693290735
"us-gaap_NonoperatingIncomeExpense",554,1.41597444089457,37.835143769968
"us-gaap_Revenues",525,1.34185303514377,39.1769968051118
"us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax",495,1.26517571884984,40.4421725239617
"us-gaap_CostOfGoodsAndServicesSold",453,1.15782747603834,41.6
"us-gaap_ProfitLoss",437,1.11693290734824,42.7169329073482
"us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax",427,1.09137380191693,43.8083067092652
"us-gaap_OtherComprehensiveIncomeLossNetOfTax",422,1.07859424920128,44.8869009584665
"us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest",363,0.927795527156549,45.814696485623
"us-gaap_IncomeLossFromEquityMethodInvestments",363,0.927795527156549,46.7424920127796
"us-gaap_EarningsPerShareBasicAndDiluted",357,0.912460063897764,47.6549520766773
"us-gaap_NetIncomeLossAttributableToNoncontrollingInterest",339,0.866453674121406,48.5214057507987
"us-gaap_WeightedAverageNumberOfShareOutstandingBasicAndDiluted",318,0.812779552715655,49.3341853035144
"us-gaap_InvestmentIncomeInterest",303,0.77444089456869,50.1086261980831
"us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",302,0.771884984025559,50.8805111821086
"us-gaap_CostsAndExpenses",261,0.667092651757189,51.5476038338658
"us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest",257,0.656869009584665,52.2044728434505
"NetIncomeLoss",253,0.646645367412141,52.8511182108626
"us-gaap_CommonStockDividendsPerShareDeclared",236,0.603194888178914,53.4543130990415
"us-gaap_CostOfRevenue",236,0.603194888178914,54.0575079872204
"us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic",235,0.600638977635783,54.6581469648562
"IncomeTaxExpenseBenefit",233,0.595527156549521,55.2536741214058
"us-gaap_SellingAndMarketingExpense",230,0.587859424920128,55.8415335463259
"OperatingIncomeLoss",227,0.580191693290735,56.4217252396166
"us-gaap_IncomeLossFromContinuingOperations",213,0.544408945686901,56.9661341853035
"us-gaap_CostOfGoodsSold",212,0.54185303514377,57.5079872204473
"us-gaap_IncomeLossFromContinuingOperationsPerBasicShare",202,0.51629392971246,58.0242811501597
"us-gaap_IncomeLossFromContinuingOperationsPerDilutedShare",200,0.511182108626198,58.5354632587859
"us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax",195,0.498402555910543,59.0338658146965
"InterestExpense",194,0.495846645367412,59.5297124600639
"us-gaap_SalesRevenueNet",191,0.488178913738019,60.0178913738019
"us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent",186,0.475399361022364,60.4932907348243
"us-gaap_InterestIncomeExpenseNet",181,0.462619808306709,60.955910543131
"EarningsPerShareBasic",179,0.457507987220447,61.4134185303514
"WeightedAverageNumberOfDilutedSharesOutstanding",177,0.452396166134185,61.8658146964856
