concept,standard name
us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents
CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents
us-gaap_RestrictedCashNoncurrent,Short-term Investments
RestrictedCashNoncurrent,Short-term Investments
us-gaap_RestrictedCashAndCashEquivalentsNoncurrent,
acm_CashAndCashEquivalentsGeneral,Cash and Cash Equivalents
acm_CashInConsolidatedJointVentures,Cash and Cash Equivalents
acm:CashAndCashEquivalentsGeneral,
acm:CashInConsolidatedJointVentures,
CashSurrenderValueOfLifeInsurance,
us-gaap_Cash,Cash and Cash Equivalents
Cash,Cash and Cash Equivalents
us-gaap_RestrictedCashCurrent,Short-term Investments
us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue,Short-term Investments
RestrictedCashAndCashEquivalentsAtCarryingValue,Short-term Investments
RestrictedCashAndCashEquivalentsNoncurrent,
us-gaap_RestrictedCashAndCashEquivalents,Short-term Investments
RestrictedCashAndCashEquivalents,Short-term Investments
RestrictedCashCurrent,Short-term Investments
us-gaap_RestrictedCashAndInvestmentsCurrent,Short-term Investments
us-gaap_RestrictedCashAndInvestmentsNoncurrent,
us-gaap_CashCashEquivalentsAndShortTermInvestments,Cash and Cash Equivalents and Short-term Investment
CashCashEquivalentsAndShortTermInvestments,Cash and Cash Equivalents and Short-term Investment
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,Cash and Cash Equivalents and Short-term Investment
CashEquivalentsAtCarryingValue,Cash and Cash Equivalents
us-gaap_CashEquivalentsAtCarryingValue,Cash and Cash Equivalents
us-gaap_CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations,Cash and Cash Equivalents and Short-term Investment
CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations,Cash and Cash Equivalents and Short-term Investment
us-gaap_CashAndDueFromBanks,Short-term Investments
us-gaap_RestrictedCash,Short-term Investments
CashAndDueFromBanks,Short-term Investments
RestrictedCash,Short-term Investments
us-gaap_CashReserveDepositRequiredAndMade,Short-term Investments
CashReserveDepositRequiredAndMade,Short-term Investments
gehc_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsCurrent,Cash and Cash Equivalents and Short-term Investment
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,Cash and Cash Equivalents and Short-term Investment
us-gaap_AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,
RestrictedCashAndInvestmentsNoncurrent,
nktr:RestrictedCashAndLongTermInvestments,
nni_CashAndCashEquivalentsNotHeldAtRelatedParty,
nni_CashAndCashEquivalentsHeldAtRelatedParty,
us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents
us-gaap_RestrictedCash,Short-term Investments
nni_RestrictedCashDueToCustomers,
nni_CashAndCashEquivalentsRelatedParty,
us-gaap_RestrictedCashAndCashEquivalents,Short-term Investments
nni:CashAndCashEquivalentsNotHeldAtRelatedParty,
nni:CashAndCashEquivalentsRelatedParty,
CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents
RestrictedCash,Short-term Investments
nni:RestrictedCashDueToCustomers,
