"concept","standard_name","similarity_score"
"accountsandotherreceivablesnetcurrent","revenue",0.571446446446446
"accountsandotherreceivablesnetcurrent","cash and cash equivalents",0.529279279279279
"accountsandotherreceivablesnetcurrent","net income",0.529279279279279
"accountsnotesandloansreceivablenetcurrent","cash and cash equivalents",0.560162601626016
"accountsnotesandloansreceivablenetcurrent","net income",0.534552845528455
"accountsnotesandloansreceivablenetcurrent","revenue",0.53435927216415
"accountspayableandaccruedliabilitiescurrent","revenue",0.611849390919158
"accountspayableandaccruedliabilitiescurrent","cash and cash equivalents",0.564599483204134
"accountspayableandaccruedliabilitiescurrent","net income",0.560008305647841
"accountspayableandaccruedliabilitiescurrentandnoncurrent","revenue",0.595899470899471
"accountspayableandaccruedliabilitiescurrentandnoncurrent","cash and cash equivalents",0.575396825396825
"accountspayableandaccruedliabilitiescurrentandnoncurrent","net income",0.549603174603175
"accountspayableandaccruedliabilitiesnoncurrent","cash and cash equivalents",0.568115942028986
"accountspayableandaccruedliabilitiesnoncurrent","revenue",0.567632850241546
"accountspayableandaccruedliabilitiesnoncurrent","net income",0.535311709224753
"accountspayableandotheraccruedliabilities","revenue",0.610336817653891
"accountspayableandotheraccruedliabilities","cash and cash equivalents",0.580792682926829
"accountspayableandotheraccruedliabilities","cash and cash equivalents",0.580792682926829
"accountspayableandotheraccruedliabilities","net income",0.577816492450639
"accountspayablecurrent","cash and cash equivalents",0.620075757575758
"accountspayablecurrent","revenue",0.589466089466089
"accountspayablecurrent","net income",0.572390572390572
"accountspayablerelatedpartiescurrent","revenue",0.591269841269841
"accountspayablerelatedpartiescurrent","cash and cash equivalents",0.5625
"accountspayablerelatedpartiescurrent","net income",0.55
"accountspayabletradecurrent","cash and cash equivalents",0.60108024691358
"accountspayabletradecurrent","revenue",0.599382716049383
"accountspayabletradecurrent","net income",0.580246913580247
"accountsreceivablenet","revenue",0.581746031746032
"accountsreceivablenet","cash and cash equivalents",0.566666666666667
"accountsreceivablenet","net income",0.535449735449736
"accountsreceivablenetcurrent","revenue",0.601587301587302
"accountsreceivablenetcurrent","cash and cash equivalents",0.56031746031746
"accountsreceivablenetcurrent","net income",0.538888888888889
"accrualfortaxesotherthanincometaxescurrent","cash and cash equivalents",0.598290598290598
"accrualfortaxesotherthanincometaxescurrent","net income",0.575132275132275
"accrualfortaxesotherthanincometaxescurrent","revenue",0.558201058201058
